wfpp,wikidata,label
https://wfpp.columbia.edu/person/abby-meehan/,Q88468482,Abby Meehan
https://wfpp.columbia.edu/person/ada-aline-urban/,Q89043331,Ada Aline Urban
https://wfpp.columbia.edu/person/ada-egede-nissen/,Q346150,Ada Kramm
https://wfpp.columbia.edu/person/adela-rogers-st-johns/,Q353774,Adela Rogers St. Johns
https://wfpp.columbia.edu/person/adela-sequeyro-haro/,Q353776,Adela Sequeyro
https://wfpp.columbia.edu/person/adele-s-buffington/,Q19281763,Adele Buffington
https://wfpp.columbia.edu/person/adelina-barrasa/,Q63798209,Adelina Barrasa
https://wfpp.columbia.edu/person/adriana-ehlers/,Q84976949,Adriana Ehlers
https://wfpp.columbia.edu/person/adrienne-solser/,Q28064073,Adriënne Solser
https://wfpp.columbia.edu/person/agnes-christine-johnston/,Q4693024,Agnes Christine Johnston
https://wfpp.columbia.edu/person/agnes-gavin/,Q4693038,Agnes Gavin
https://wfpp.columbia.edu/person/aili-kari/,Q89051426,Aili Kari
https://wfpp.columbia.edu/person/aleksandra-khokhlova/,Q278319,Aleksandra Khokhlova
https://wfpp.columbia.edu/person/alice-b-russell/,Q4725731,Alice B. Russell
https://wfpp.columbia.edu/person/alice-guy-blache/,Q263367,Alice Guy-Blaché
https://wfpp.columbia.edu/person/alice-howell/,Q2836594,Alice Howell
https://wfpp.columbia.edu/person/alice-rosenthal/,Q123536960,Alice Rosenthal
https://wfpp.columbia.edu/person/alice-smythe-jay/,Q89051201,Alice Smythe Jay
https://wfpp.columbia.edu/person/alice-terry/,Q446444,Alice Terry
https://wfpp.columbia.edu/person/alicia-armstrong-de-vicuna/,Q47850997,Alicia Armstrong de Vicuña
https://wfpp.columbia.edu/person/alla-nazimova/,Q234795,Alla Nazimova
https://wfpp.columbia.edu/person/alma-reville/,Q203165,Alma Reville
https://wfpp.columbia.edu/person/aloha-wanderwell-baker/,Q4734202,Aloha Wanderwell
https://wfpp.columbia.edu/person/alva-lundin/,Q4964134,Alva Lundin
https://wfpp.columbia.edu/person/angela-murray-gibson/,Q19666586,Angela Murray Gibson
https://wfpp.columbia.edu/person/angela-ramos-de-rotalde/,Q63037218,Angela Ramos
https://wfpp.columbia.edu/person/anita-loos/,Q272088,Anita Loos
